zeit_ohne;n_ohne;;;;;zeit_mit;n_mit
0;1496;;;;;0;1498
1;1444;;;;;1;1492
2;1394;;;;;2;1429
3;1296;;;;;3;1397
4;1249;;;;;4;1335
5;1201;;;;;5;1304
6;1108;;;;;6;1273
7;1062;;;;;7;1212
8;1017;;;;;8;1182
9;929,2;;;;;9;1153
10;885,9;;;;;10;1094
11;843,6;;;;;11;1065
12;760,9;;;;;12;1007
13;720,9;;;;;13;978,3
14;681,7;;;;;14;950,3
15;641,0;;;;;15;921,5
16;562,7;;;;;16;866,3
17;524,9;;;;;17;838,2
18;488,2;;;;;18;811,6
19;452,6;;;;;19;757,9
20;418,3;;;;;20;731,6
21;347,6;;;;;21;706,0
22;314,5;;;;;22;653,2
23;279,2;;;;;23;627,1
24;245,5;;;;;24;602,1
25;245,5;;;;;25;575,8
26;213,7;;;;;26;549,2
27;182,7;;;;;27;498,2
28;154,0;;;;;28;472,2
29;121,7;;;;;29;447,3
30;91,2;;;;;30;423,5
31;91,2;;;;;31;398,3
32;60,9;;;;;32;372,5
33;60,9;;;;;33;347,6
34;60,9;;;;;34;323,8
35;60,9;;;;;35;298,7
;;;;;;36;271,9
;;;;;;37;246,1
;;;;;;38;221,2
;;;;;;39;193,4
;;;;;;40;167,1
;;;;;;41;140,9
;;;;;;42;140,9
;;;;;;43;110,1
;;;;;;44;78,1
;;;;;;45;78,1
;;;;;;46;78,1
;;;;;;47;78,1
;;;;;;48;38,4
