Model,MDO34
Firmware Version,1.6.0

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.1
Horizontal Delay,0.431
Sample Interval,0.001
Record Length,1000
Gating,0.1% to 100.0%
Probe Attenuation,10
Vertical Units,A
Vertical Offset,0
Vertical Scale,5
Vertical Position,0.02
,
,
,
Label,UL12
TIME,CH1
-6.90e-02,0.3
-6.80e-02,0.1
-6.70e-02,0.1
-6.60e-02,-0.1
-6.50e-02,-0.1
-6.40e-02,0.1
-6.30e-02,0.1
-6.20e-02,0.1
-6.10e-02,0.3
-6.00e-02,0.1
-5.90e-02,0.1
-5.80e-02,0.1
-5.70e-02,0.1
-5.60e-02,-0.1
-5.50e-02,0.3
-5.40e-02,0.3
-5.30e-02,0.1
-5.20e-02,0.1
-5.10e-02,-0.1
-5.00e-02,0.3
-4.90e-02,0.1
-4.80e-02,0.3
-4.70e-02,0.1
-4.60e-02,0.1
-4.50e-02,0.1
-4.40e-02,0.1
-4.30e-02,0.1
-4.20e-02,-0.1
-4.10e-02,-0.1
-4.00e-02,0.1
-3.90e-02,0.1
-3.80e-02,0.1
-3.70e-02,0.1
-3.60e-02,-0.1
-3.50e-02,0.1
-3.40e-02,0.1
-3.30e-02,0.1
-3.20e-02,-0.1
-3.10e-02,0.1
-3.00e-02,0.3
-2.90e-02,0.1
-2.80e-02,0.1
-2.70e-02,0.1
-2.60e-02,0.3
-2.50e-02,-0.1
-2.40e-02,0.1
-2.30e-02,-0.1
-2.20e-02,0.1
-2.10e-02,0.1
-2.00e-02,0.1
-1.90e-02,0.1
-1.80e-02,0.3
-1.70e-02,-0.1
-1.60e-02,-0.1
-1.50e-02,0.1
-1.40e-02,0.1
-1.30e-02,-0.1
-1.20e-02,0.1
-1.10e-02,0.1
-1.00e-02,0.3
-9.00e-03,0.1
-8.00e-03,0.1
-7.00e-03,-0.1
-6.00e-03,-0.1
-5.00e-03,0.1
-4.00e-03,0.1
-3.00e-03,0.1
-2.00e-03,0.1
-1.00e-03,0.1
0.00e+00,-0.1
1.00e-03,0.1
2.00e-03,0.1
3.00e-03,0.1
4.00e-03,0.1
5.00e-03,0.1
6.00e-03,0.1
7.00e-03,0.1
8.00e-03,-0.1
9.00e-03,0.1
1.00e-02,0.1
1.10e-02,0.1
1.20e-02,0.1
1.30e-02,0.1
1.40e-02,0.1
1.50e-02,-0.1
1.60e-02,0.1
1.70e-02,0.1
1.80e-02,0.1
1.90e-02,-0.1
2.00e-02,0.1
2.10e-02,0.1
2.20e-02,0.1
2.30e-02,0.3
2.40e-02,-0.1
2.50e-02,0.1
2.60e-02,0.3
2.70e-02,0.1
2.80e-02,0.1
2.90e-02,0.1
3.00e-02,0.1
3.10e-02,0.1
3.20e-02,-0.1
3.30e-02,0.1
3.40e-02,0.3
3.50e-02,0.1
3.60e-02,0.3
3.70e-02,0.1
3.80e-02,0.3
3.90e-02,0.1
4.00e-02,0.1
4.10e-02,0.1
4.20e-02,0.1
4.30e-02,-0.1
4.40e-02,0.1
4.50e-02,0.1
4.60e-02,0.1
4.70e-02,-0.1
4.80e-02,0.1
4.90e-02,0.1
5.00e-02,0.1
5.10e-02,0.1
5.20e-02,0.1
5.30e-02,0.1
5.40e-02,0.1
5.50e-02,0.1
5.60e-02,0.1
5.70e-02,0.1
5.80e-02,0.3
5.90e-02,0.1
6.00e-02,-0.1
6.10e-02,0.3
6.20e-02,0.1
6.30e-02,0.1
6.40e-02,0.1
6.50e-02,0.1
6.60e-02,0.1
6.70e-02,0.3
6.80e-02,-0.1
6.90e-02,0.1
7.00e-02,0.1
7.10e-02,0.1
7.20e-02,0.1
7.30e-02,-0.1
7.40e-02,0.3
7.50e-02,0.1
7.60e-02,0.1
7.70e-02,-0.1
7.80e-02,0.3
7.90e-02,0.3
8.00e-02,0.1
8.10e-02,0.1
8.20e-02,0.1
8.30e-02,0.1
8.40e-02,0.3
8.50e-02,0.1
8.60e-02,0.1
8.70e-02,0.1
8.80e-02,0.1
8.90e-02,0.1
9.00e-02,0.1
9.10e-02,0.3
9.20e-02,-0.1
9.30e-02,-0.1
9.40e-02,0.1
9.50e-02,-0.1
9.60e-02,0.5
9.70e-02,-0.1
9.80e-02,0.3
9.90e-02,-0.1
1.00e-01,0.1
1.01e-01,0.3
1.02e-01,0.1
1.03e-01,0.1
1.04e-01,0.1
1.05e-01,0.1
1.06e-01,0.9
1.07e-01,1.3
1.08e-01,1.7
1.09e-01,2.9
1.10e-01,3.3
1.11e-01,3.1
1.12e-01,4.5
1.13e-01,5.3
1.14e-01,4.9
1.15e-01,5.3
1.16e-01,6.3
1.17e-01,6.5
1.18e-01,5.5
1.19e-01,6.7
1.20e-01,7.3
1.21e-01,6.7
1.22e-01,6.7
1.23e-01,7.7
1.24e-01,7.7
1.25e-01,6.1
1.26e-01,7.9
1.27e-01,7.9
1.28e-01,6.7
1.29e-01,7.1
1.30e-01,7.7
1.31e-01,7.1
1.32e-01,6.5
1.33e-01,7.7
1.34e-01,7.5
1.35e-01,6.1
1.36e-01,7.7
1.37e-01,7.9
1.38e-01,6.5
1.39e-01,7.5
1.40e-01,8.3
1.41e-01,7.3
1.42e-01,7.1
1.43e-01,8.3
1.44e-01,7.9
1.45e-01,6.7
1.46e-01,8.3
1.47e-01,8.5
1.48e-01,6.9
1.49e-01,7.7
1.50e-01,8.3
1.51e-01,7.3
1.52e-01,7.1
1.53e-01,8.1
1.54e-01,7.7
1.55e-01,6.7
1.56e-01,8.3
1.57e-01,8.1
1.58e-01,6.7
1.59e-01,7.9
1.60e-01,8.3
1.61e-01,7.3
1.62e-01,7.5
1.63e-01,8.5
1.64e-01,8.1
1.65e-01,6.9
1.66e-01,8.3
1.67e-01,8.5
1.68e-01,6.9
1.69e-01,7.9
1.70e-01,8.3
1.71e-01,7.3
1.72e-01,7.3
1.73e-01,8.3
1.74e-01,7.7
1.75e-01,7.1
1.76e-01,8.3
1.77e-01,8.1
1.78e-01,6.7
1.79e-01,8.1
1.80e-01,8.5
1.81e-01,7.3
1.82e-01,7.5
1.83e-01,8.3
1.84e-01,7.7
1.85e-01,6.9
1.86e-01,8.3
1.87e-01,8.1
1.88e-01,6.5
1.89e-01,7.7
1.90e-01,8.3
1.91e-01,7.3
1.92e-01,7.5
1.93e-01,8.3
1.94e-01,7.5
1.95e-01,6.9
1.96e-01,8.3
1.97e-01,8.1
1.98e-01,6.5
1.99e-01,7.9
2.00e-01,8.1
2.01e-01,6.9
2.02e-01,7.5
2.03e-01,8.1
2.04e-01,7.5
2.05e-01,6.9
2.06e-01,8.5
2.07e-01,8.1
2.08e-01,6.3
2.09e-01,7.9
2.10e-01,8.1
2.11e-01,6.9
2.12e-01,7.3
2.13e-01,8.1
2.14e-01,7.5
2.15e-01,6.9
2.16e-01,8.1
2.17e-01,7.9
2.18e-01,6.3
2.19e-01,7.7
2.20e-01,7.9
2.21e-01,6.7
2.22e-01,7.5
2.23e-01,8.1
2.24e-01,7.5
2.25e-01,7.1
2.26e-01,8.1
2.27e-01,7.9
2.28e-01,6.3
2.29e-01,7.9
2.30e-01,8.1
2.31e-01,6.7
2.32e-01,7.5
2.33e-01,8.1
2.34e-01,7.3
2.35e-01,7.1
2.36e-01,8.1
2.37e-01,7.7
2.38e-01,6.3
2.39e-01,7.9
2.40e-01,7.9
2.41e-01,6.5
2.42e-01,7.5
2.43e-01,8.1
2.44e-01,7.3
2.45e-01,7.1
2.46e-01,8.1
2.47e-01,7.7
2.48e-01,6.5
2.49e-01,8.1
2.50e-01,7.9
2.51e-01,6.5
2.52e-01,7.5
2.53e-01,8.1
2.54e-01,7.1
2.55e-01,7.1
2.56e-01,7.9
2.57e-01,7.7
2.58e-01,6.7
2.59e-01,7.9
2.60e-01,7.9
2.61e-01,6.5
2.62e-01,7.5
2.63e-01,7.9
2.64e-01,7.1
2.65e-01,7.3
2.66e-01,7.9
2.67e-01,7.5
2.68e-01,6.7
2.69e-01,7.9
2.70e-01,7.7
2.71e-01,6.5
2.72e-01,7.5
2.73e-01,7.9
2.74e-01,6.9
2.75e-01,7.3
2.76e-01,8.1
2.77e-01,7.5
2.78e-01,6.7
2.79e-01,7.9
2.80e-01,7.9
2.81e-01,6.5
2.82e-01,7.7
2.83e-01,8.1
2.84e-01,6.9
2.85e-01,7.3
2.86e-01,8.1
2.87e-01,7.5
2.88e-01,6.7
2.89e-01,7.9
2.90e-01,7.9
2.91e-01,6.3
2.92e-01,7.5
2.93e-01,8.1
2.94e-01,6.9
2.95e-01,7.3
2.96e-01,8.1
2.97e-01,7.3
2.98e-01,6.9
2.99e-01,7.9
3.00e-01,7.7
3.01e-01,6.3
3.02e-01,7.7
3.03e-01,7.9
3.04e-01,6.7
3.05e-01,7.3
3.06e-01,8.1
3.07e-01,7.5
3.08e-01,7.1
3.09e-01,8.1
3.10e-01,7.7
3.11e-01,6.5
3.12e-01,7.9
3.13e-01,8.1
3.14e-01,6.9
3.15e-01,7.7
3.16e-01,8.5
3.17e-01,7.7
3.18e-01,7.1
3.19e-01,8.1
3.20e-01,7.7
3.21e-01,6.5
3.22e-01,7.7
3.23e-01,8.1
3.24e-01,6.9
3.25e-01,7.5
3.26e-01,8.1
3.27e-01,7.5
3.28e-01,7.3
3.29e-01,8.1
3.30e-01,7.9
3.31e-01,6.5
3.32e-01,8.1
3.33e-01,8.1
3.34e-01,7.1
3.35e-01,7.5
3.36e-01,8.5
3.37e-01,7.7
3.38e-01,7.3
3.39e-01,8.1
3.40e-01,7.7
3.41e-01,6.5
3.42e-01,7.9
3.43e-01,8.1
3.44e-01,6.9
3.45e-01,7.7
3.46e-01,8.1
3.47e-01,7.5
3.48e-01,6.9
3.49e-01,8.1
3.50e-01,7.7
3.51e-01,6.5
3.52e-01,7.9
3.53e-01,8.1
3.54e-01,6.9
3.55e-01,7.7
3.56e-01,8.3
3.57e-01,7.5
3.58e-01,6.9
3.59e-01,8.1
3.60e-01,7.9
3.61e-01,6.7
3.62e-01,7.9
3.63e-01,8.1
3.64e-01,6.9
3.65e-01,7.5
3.66e-01,8.3
3.67e-01,7.3
3.68e-01,7.1
3.69e-01,8.1
3.70e-01,7.7
3.71e-01,6.5
3.72e-01,7.7
3.73e-01,8.1
3.74e-01,6.9
3.75e-01,7.5
3.76e-01,8.3
3.77e-01,7.3
3.78e-01,7.1
3.79e-01,7.9
3.80e-01,7.5
3.81e-01,6.5
3.82e-01,7.7
3.83e-01,8.1
3.84e-01,6.9
3.85e-01,7.5
3.86e-01,8.3
3.87e-01,7.5
3.88e-01,6.9
3.89e-01,8.1
3.90e-01,7.5
3.91e-01,6.3
3.92e-01,7.9
3.93e-01,8.1
3.94e-01,6.9
3.95e-01,7.5
3.96e-01,8.1
3.97e-01,7.5
3.98e-01,6.9
3.99e-01,7.9
4.00e-01,7.7
4.01e-01,6.3
4.02e-01,7.9
4.03e-01,7.9
4.04e-01,6.9
4.05e-01,7.5
4.06e-01,8.1
4.07e-01,7.5
4.08e-01,6.9
4.09e-01,8.1
4.10e-01,7.7
4.11e-01,6.3
4.12e-01,7.7
4.13e-01,7.9
4.14e-01,6.9
4.15e-01,7.1
4.16e-01,7.7
4.17e-01,7.3
4.18e-01,6.3
4.19e-01,7.3
4.20e-01,7.1
4.21e-01,6.1
4.22e-01,6.9
4.23e-01,7.1
4.24e-01,6.3
4.25e-01,6.3
4.26e-01,6.7
4.27e-01,6.5
4.28e-01,5.7
4.29e-01,6.3
4.30e-01,6.3
4.31e-01,5.5
4.32e-01,5.9
4.33e-01,6.1
4.34e-01,5.7
4.35e-01,5.5
4.36e-01,5.9
4.37e-01,5.5
4.38e-01,4.7
4.39e-01,5.3
4.40e-01,5.5
4.41e-01,4.5
4.42e-01,4.9
4.43e-01,5.1
4.44e-01,4.5
4.45e-01,4.3
4.46e-01,4.9
4.47e-01,4.9
4.48e-01,3.7
4.49e-01,4.7
4.50e-01,4.5
4.51e-01,4.1
4.52e-01,4.3
4.53e-01,4.3
4.54e-01,4.1
4.55e-01,3.7
4.56e-01,4.3
4.57e-01,4.1
4.58e-01,3.3
4.59e-01,3.9
4.60e-01,3.9
4.61e-01,3.3
4.62e-01,3.5
4.63e-01,3.9
4.64e-01,3.3
4.65e-01,3.1
4.66e-01,3.5
4.67e-01,3.3
4.68e-01,2.5
4.69e-01,3.1
4.70e-01,3.1
4.71e-01,2.7
4.72e-01,2.7
4.73e-01,3.1
4.74e-01,2.7
4.75e-01,2.3
4.76e-01,3.1
4.77e-01,2.7
4.78e-01,2.1
4.79e-01,2.7
4.80e-01,2.9
4.81e-01,2.3
4.82e-01,2.3
4.83e-01,2.5
4.84e-01,2.1
4.85e-01,1.9
4.86e-01,2.5
4.87e-01,2.3
4.88e-01,1.7
4.89e-01,2.1
4.90e-01,2.3
4.91e-01,1.7
4.92e-01,1.9
4.93e-01,2.3
4.94e-01,1.9
4.95e-01,1.7
4.96e-01,2.3
4.97e-01,1.9
4.98e-01,1.3
4.99e-01,1.9
5.00e-01,1.9
5.01e-01,1.5
5.02e-01,1.7
5.03e-01,1.9
5.04e-01,1.7
5.05e-01,1.3
5.06e-01,1.9
5.07e-01,1.9
5.08e-01,1.1
5.09e-01,1.7
5.10e-01,1.9
5.11e-01,1.3
5.12e-01,1.5
5.13e-01,1.9
5.14e-01,1.5
5.15e-01,1.3
5.16e-01,1.7
5.17e-01,1.7
5.18e-01,0.9
5.19e-01,1.7
5.20e-01,1.7
5.21e-01,1.1
5.22e-01,1.3
5.23e-01,1.7
5.24e-01,1.3
5.25e-01,1.3
5.26e-01,1.5
5.27e-01,1.7
5.28e-01,0.9
5.29e-01,1.7
5.30e-01,1.7
5.31e-01,1.1
5.32e-01,1.3
5.33e-01,1.7
5.34e-01,1.3
5.35e-01,1.1
5.36e-01,1.7
5.37e-01,1.5
5.38e-01,0.9
5.39e-01,1.5
5.40e-01,1.7
5.41e-01,1.3
5.42e-01,1.3
5.43e-01,1.7
5.44e-01,1.3
5.45e-01,1.1
5.46e-01,1.5
5.47e-01,1.5
5.48e-01,0.9
5.49e-01,1.5
5.50e-01,1.5
5.51e-01,1.3
5.52e-01,1.3
5.53e-01,1.7
5.54e-01,1.5
5.55e-01,0.9
5.56e-01,1.5
5.57e-01,1.5
5.58e-01,0.9
5.59e-01,1.3
5.60e-01,1.5
5.61e-01,1.1
5.62e-01,1.3
5.63e-01,1.5
5.64e-01,1.3
5.65e-01,0.9
5.66e-01,1.5
5.67e-01,1.5
5.68e-01,0.7
5.69e-01,1.3
5.70e-01,1.5
5.71e-01,1.1
5.72e-01,1.1
5.73e-01,1.5
5.74e-01,1.1
5.75e-01,0.9
5.76e-01,1.3
5.77e-01,1.3
5.78e-01,0.7
5.79e-01,1.1
5.80e-01,1.5
5.81e-01,0.9
5.82e-01,0.9
5.83e-01,1.3
5.84e-01,1.1
5.85e-01,0.7
5.86e-01,1.1
5.87e-01,1.3
5.88e-01,0.7
5.89e-01,1.3
5.90e-01,1.5
5.91e-01,0.9
5.92e-01,0.9
5.93e-01,1.3
5.94e-01,0.9
5.95e-01,0.7
5.96e-01,1.3
5.97e-01,1.1
5.98e-01,0.5
5.99e-01,1.1
6.00e-01,1.3
6.01e-01,0.7
6.02e-01,0.9
6.03e-01,1.1
6.04e-01,1.1
6.05e-01,0.7
6.06e-01,1.3
6.07e-01,1.3
6.08e-01,0.7
6.09e-01,1.1
6.10e-01,1.1
6.11e-01,0.7
6.12e-01,0.9
6.13e-01,1.1
6.14e-01,0.9
6.15e-01,0.5
6.16e-01,1.1
6.17e-01,1.1
6.18e-01,0.5
6.19e-01,0.9
6.20e-01,1.1
6.21e-01,0.7
6.22e-01,0.9
6.23e-01,1.1
6.24e-01,0.9
6.25e-01,0.7
6.26e-01,1.1
6.27e-01,0.9
6.28e-01,0.5
6.29e-01,0.9
6.30e-01,1.1
6.31e-01,0.7
6.32e-01,0.7
6.33e-01,1.1
6.34e-01,0.9
6.35e-01,0.5
6.36e-01,0.9
6.37e-01,0.9
6.38e-01,0.5
6.39e-01,0.9
6.40e-01,1.1
6.41e-01,0.7
6.42e-01,0.7
6.43e-01,1.1
6.44e-01,0.9
6.45e-01,0.5
6.46e-01,1.1
6.47e-01,0.9
6.48e-01,0.5
6.49e-01,0.9
6.50e-01,0.9
6.51e-01,0.5
6.52e-01,0.5
6.53e-01,0.9
6.54e-01,0.5
6.55e-01,0.3
6.56e-01,0.7
6.57e-01,0.9
6.58e-01,0.3
6.59e-01,0.9
6.60e-01,1.1
6.61e-01,0.5
6.62e-01,0.7
6.63e-01,0.9
6.64e-01,0.9
6.65e-01,0.5
6.66e-01,1.1
6.67e-01,1.1
6.68e-01,0.5
6.69e-01,0.9
6.70e-01,1.1
6.71e-01,0.5
6.72e-01,0.7
6.73e-01,1.1
6.74e-01,0.7
6.75e-01,0.5
6.76e-01,1.1
6.77e-01,0.9
6.78e-01,0.5
6.79e-01,0.7
